square_id,time_interval,internet_traffic
4159,2013-10-31 23:00:00,224.80188
4159,2013-10-31 23:00:00,0.006651706
4159,2013-10-31 23:10:00,183.49942
4159,2013-10-31 23:10:00,0.0055768173
4159,2013-10-31 23:20:00,204.42465
4159,2013-10-31 23:20:00,0.006651706
4159,2013-10-31 23:30:00,211.94601
4159,2013-10-31 23:30:00,0.4213868
4159,2013-10-31 23:30:00,0.006651706
4159,2013-10-31 23:40:00,195.28662
4159,2013-10-31 23:40:00,0.48138633
4159,2013-10-31 23:50:00,211.84729
4159,2013-10-31 23:50:00,0.013303412
4159,2013-11-01 00:00:00,218.1073
4159,2013-11-01 00:00:00,0.006651706
4159,2013-11-01 00:10:00,261.19458
4159,2013-11-01 00:10:00,0.48138633
4159,2013-11-01 00:10:00,0.013303412
4159,2013-11-01 00:20:00,175.92152
4159,2013-11-01 00:20:00,0.0055768173
4159,2013-11-01 00:20:00,0.006651706
4159,2013-11-01 00:30:00,204.93506
4159,2013-11-01 00:40:00,175.94566
4159,2013-11-01 00:40:00,0.013303412
4159,2013-11-01 00:50:00,188.50415
4159,2013-11-01 01:00:00,185.84592
4159,2013-11-01 01:00:00,0.006651706
4159,2013-11-01 01:10:00,0.006651706
4159,2013-11-01 01:10:00,210.15681
4159,2013-11-01 01:10:00,0.006651706
4159,2013-11-01 01:20:00,193.32143
4159,2013-11-01 01:20:00,0.01995512
4159,2013-11-01 01:20:00,0.006651706
4159,2013-11-01 01:30:00,180.63249
4159,2013-11-01 01:30:00,0.4213868
4159,2013-11-01 01:30:00,0.29327068
4159,2013-11-01 01:40:00,193.0342
4159,2013-11-01 01:50:00,179.21008
4159,2013-11-01 02:00:00,178.50423
4159,2013-11-01 02:10:00,213.12753
4159,2013-11-01 02:10:00,0.4213868
4159,2013-11-01 02:10:00,0.006651706
4159,2013-11-01 02:20:00,206.8106
4159,2013-11-01 02:30:00,175.17155
4159,2013-11-01 02:40:00,196.19101
4159,2013-11-01 02:40:00,0.4213868
4159,2013-11-01 02:40:00,0.4213868
4159,2013-11-01 02:50:00,168.97226
